Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
23827;Boleto - Gerado (10/13);17/07/2017 00:08;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23811;Boleto - Gerado (10/13);17/07/2017 07:08;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23831;Boleto - Gerado (10/13);17/07/2017 09:34;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23518;Boleto - Pago Igual (21);17/07/2017 09:53;32;18/07/2017 00:00;32.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23832;Boleto - Pago Igual (21);17/07/2017 09:55;22;21/07/2017 00:00;22.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23834;Boleto - Pago Igual (21);17/07/2017 10:31;30;18/07/2017 00:00;30.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23835;Boleto - Gerado (10/13);17/07/2017 10:35;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23677;Boleto - Pago Igual (21);17/07/2017 10:43;38;18/07/2017 00:00;38.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23836;Boleto - Pago Igual (21);17/07/2017 10:48;38;18/07/2017 00:00;38.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23837;Boleto - Gerado (10/13);17/07/2017 10:49;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23840;Boleto - Gerado (10/13);17/07/2017 10:54;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23418;Boleto - Pago Igual (21);17/07/2017 11:36;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23782;Boleto - Pago Igual (21);17/07/2017 11:40;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23842;Boleto - Pago Igual (21);17/07/2017 11:55;32;18/07/2017 00:00;32.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23843;Boleto - Gerado (10/13);17/07/2017 12:08;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23844;Boleto - Pago Igual (21);17/07/2017 12:15;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23845;Boleto - Gerado (10/13);17/07/2017 12:21;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23846;Boleto - Pago Igual (21);17/07/2017 12:32;22;18/07/2017 00:00;22.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23841;Boleto - Gerado (10/13);17/07/2017 12:34;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23796;Boleto - Pago Igual (21);17/07/2017 13:02;50;18/07/2017 00:00;50.00;BOLETO SEM RETORNO;18/07/2017 04:29;0 - Operação finalizada com sucesso
23848;Boleto - Gerado (10/13);17/07/2017 13:23;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
